,R-CNP,XGB,DNN,LEAR,BLSTM,TFT
R-CNP,_,3.67e-01,2.66e-01,2.21e-03,9.67e-03,7.17e-01
XGB,0.901,_,7.63e-02,4.28e-02,7.57e-01,6.54e-01
DNN,-1.112,-1.773,_,1.52e-05,2.12e-02,1.79e-01
LEAR,3.060,2.025,4.326,_,4.69e-02,1.59e-03
BLSTM,2.587,0.309,2.305,-1.987,_,4.01e-01
TFT,0.363,-0.449,1.343,-3.158,-0.840,_
