,R-CNP,XGB,DNN,LEAR,BLSTM,TFT
R-CNP,_,1.62e-01,8.00e-11,0,3.31e-09,1.14e-03
XGB,1.399,_,3.51e-09,0,1.82e-05,1.66e-01
DNN,6.501,5.906,_,2.24e-08,1.80e-01,9.10e-04
LEAR,12.357,11.123,5.592,_,1.87e-11,0
BLSTM,5.916,4.286,-1.342,-6.716,_,1.21e-02
TFT,3.253,1.385,-3.317,-12.378,-2.511,_
