,Germany-2021,Germany-2021,Germany-2021,Germany-2022,Germany-2022,Germany-2022,Germany-2023,Germany-2023,Germany-2023,France-2023,France-2023,France-2023,Norway-2023,Norway-2023,Norway-2023
,MAE,RMSE,SMAPE,MAE,RMSE,SMAPE,MAE,RMSE,SMAPE,MAE,RMSE,SMAPE,MAE,RMSE,SMAPE
R-CNP,14.119099,16.741718,19.548433,33.18581,39.027671,21.136006,15.627325,19.154459,27.889284,20.027303,23.416852,30.162952,13.130467,16.102924,26.18153
XGB,16.039148,18.616369,20.014313,34.595095,40.4802,20.965357,16.729748,19.789699,30.743863,20.101389,22.858087,32.011706,14.170922,16.143352,28.377142
DNN,14.333396,17.205705,18.364226,31.637743,38.171109,20.609568,16.285053,19.993936,29.235916,17.146884,20.818791,27.997629,18.45711,21.390128,34.764083
LEAR,15.271732,18.069103,18.959952,39.130648,46.100301,24.325618,19.241299,22.741393,30.467854,33.999013,37.183817,40.145325,24.830869,26.902621,36.570261
BLSTM,18.967669,22.427147,23.673392,35.111715,41.709159,21.857964,30.004693,35.375497,39.99498,23.14292,27.306476,32.149648,17.508251,20.807814,30.767981
TFT,14.179457,16.736562,18.270222,33.749408,39.609116,20.694465,16.088472,19.334039,27.370131,19.927121,23.334922,29.168246,15.287198,17.951843,27.090052
