,Germany-2021,Germany-2021,Germany-2022,Germany-2022,Germany-2023,Germany-2023,France-2023,France-2023,Norway-2023,Norway-2023
,PICP,MPIW,PICP,MPIW,PICP,MPIW,PICP,MPIW,PICP,MPIW
R-CNP,0.728539,31.553861,0.428311,44.114269,0.756507,41.593283,0.66484,44.974017,0.785845,38.06525
XGB,0.834817,52.736948,0.913813,182.571616,0.957991,86.672157,0.956849,106.673541,0.95879,70.985872
DNN,0.883402,57.126226,0.937215,171.489608,0.960959,106.526945,0.948288,114.712869,0.966553,115.710191
LEAR,0.876712,54.598725,0.943265,217.358001,0.953425,104.04342,0.950457,140.505464,0.953653,101.97842
BLSTM,0.53379,27.354808,0.401256,41.88117,0.489726,42.648332,0.625457,43.377494,0.668493,38.051392
TFT,0.872831,50.888983,0.928539,168.02763,0.961301,89.796165,0.961073,113.79893,0.957192,88.14035
