,Germany-2021,Germany-2022,Germany-2023,France-2023,Norway-2023
XGB,0.11189374394575047,0.9389247183957905,4.156431976376496e-09,0.0070931615550305915,5.385721357409334e-05
DNN,0.13512199348482556,0.699831657846798,0.047393540713406956,0.1321240347442102,0.0
LEAR,0.10660095614096676,1.4637214773571827e-08,2.220446049250313e-16,0.0,0.0
TFT,0.9998449944992077,0.2042224991760897,0.042310586937126526,0.5572397331146783,3.6158261795815605e-07
BLSTM,0.0,1.852963908910432e-05,0.0,2.746462090552626e-05,2.1094237467877974e-15
