,"('Max', 'BLSTM Coverage')","('Max', 'BLSTM Delta')","('Max', 'BLSTM Forecast')","('Max', 'DNN Coverage')","('Max', 'DNN Delta')","('Max', 'DNN Forecast')","('Max', 'LEAR Coverage')","('Max', 'LEAR Delta')","('Max', 'LEAR Forecast')","('Max', 'R-CNP Coverage')","('Max', 'R-CNP Delta')","('Max', 'R-CNP Forecast')","('Max', 'Real')","('Max', 'TFT Coverage')","('Max', 'TFT Delta')","('Max', 'TFT Forecast')","('Max', 'XGB Coverage')","('Max', 'XGB Delta')","('Max', 'XGB Forecast')","('Min', 'BLSTM Coverage')","('Min', 'BLSTM Delta')","('Min', 'BLSTM Forecast')","('Min', 'DNN Coverage')","('Min', 'DNN Delta')","('Min', 'DNN Forecast')","('Min', 'LEAR Coverage')","('Min', 'LEAR Delta')","('Min', 'LEAR Forecast')","('Min', 'R-CNP Coverage')","('Min', 'R-CNP Delta')","('Min', 'R-CNP Forecast')","('Min', 'Real')","('Min', 'TFT Coverage')","('Min', 'TFT Delta')","('Min', 'TFT Forecast')","('Min', 'XGB Coverage')","('Min', 'XGB Delta')","('Min', 'XGB Forecast')"
Day1,Y,28.170133056640623,157.70013305664062,Y,-6.246888427734376,123.28311157226562,Y,45.6564049121408,175.1864049121408,Y,14.151622907286708,143.6816229072867,129.53,Y,43.440703010304304,172.9707030103043,Y,-9.598665313720701,119.9313346862793,N,50.53076232910157,99.01076232910157,Y,29.09749938964844,77.57749938964844,N,43.74275472143358,92.22275472143357,N,33.16428112694262,81.64428112694262,48.48,N,48.16240198141477,96.64240198141476,Y,19.308018798828122,67.78801879882812
Day2,Y,16.328260498046888,151.11826049804688,Y,-0.737448730468742,134.05255126953125,Y,49.401007812404,184.191007812404,Y,-6.876662441832821,127.91333755816717,134.79,Y,29.076303586749276,163.86630358674927,Y,-21.731854858398435,113.05814514160156,N,10.759295654296878,93.95929565429688,Y,3.824475097656247,87.02447509765625,Y,28.77268110608263,111.97268110608263,Y,-17.636341274001495,65.56365872599851,83.2,Y,-3.713564725099644,79.48643527490036,Y,-27.770404815673835,55.42959518432617
Day3,Y,6.345156250000002,145.64515625,Y,-2.237332153320324,137.0626678466797,Y,29.928710089783635,169.22871008978365,Y,3.634861229559732,142.93486122955974,139.3,Y,19.72944625093072,159.02944625093073,Y,-26.952051544189473,112.34794845581054,Y,5.366217041015631,91.52621704101563,Y,0.08732971191406591,86.24732971191406,Y,14.509306887218102,100.6693068872181,Y,-4.293902993534857,81.86609700646514,86.16,Y,-0.28729421218434936,85.87270578781565,Y,-20.783494338989257,65.37650566101074
Day4,Y,8.573526611328134,138.88352661132814,Y,13.133283081054685,143.4432830810547,Y,51.71288258556075,182.02288258556075,Y,11.801890274709109,142.1118902747091,130.31,Y,25.14912274073933,155.45912274073933,Y,-10.785416564941414,119.52458343505859,Y,-10.696819458007809,86.18318054199219,Y,-3.6232632446289017,93.2567367553711,Y,21.244435586654433,118.12443558665443,Y,-5.204889715525198,91.6751102844748,96.88,Y,2.1794348512785433,99.05943485127854,Y,-22.204265289306633,74.67573471069336
Day5,Y,-9.717972412109376,117.59202758789063,Y,7.550046386718748,134.86004638671875,Y,48.75308384547884,176.06308384547884,Y,27.071206602084317,154.38120660208432,127.31,Y,26.262306696775482,153.57230669677548,Y,-17.928789672851565,109.38121032714844,Y,-3.864674682617178,74.73532531738282,Y,9.025602722167974,87.62560272216797,Y,32.766167395235684,111.36616739523568,N,11.778472655058053,90.37847265505805,78.6,Y,19.64220410114693,98.24220410114692,Y,-6.872508239746097,71.7274917602539
Day6,Y,19.993514404296874,112.96351440429687,Y,15.373185424804674,108.34318542480467,Y,47.11592571509257,140.08592571509257,Y,9.149584862734315,102.11958486273431,92.97,Y,30.93764174827882,123.90764174827882,Y,3.628979949951173,96.59897994995117,N,70.60944885253907,70.59944885253907,Y,63.4044091796875,63.3944091796875,Y,41.31818481941341,41.30818481941341,N,35.427486952391945,35.41748695239195,-0.01,Y,34.039067380788815,34.02906738078882,Y,20.975536117553713,20.96553611755371
Day7,Y,8.105667724609376,103.00566772460938,Y,-34.15888824462892,60.74111175537109,Y,35.25041832159914,130.15041832159915,Y,-13.247102723258877,81.65289727674113,94.9,Y,31.508589962321054,126.40858996232106,Y,-5.587011337280288,89.31298866271972,N,198.64032592773438,63.700325927734376,N,155.4046339416504,20.46463394165039,N,117.22483281423294,-17.715167185767058,N,76.1360356689957,-58.803964331004295,-134.94,N,104.97772455915626,-29.962275440843747,N,114.67251581192016,-20.267484188079834
