,R-CNP,XGB,DNN,LEAR,BLSTM,TFT
R-CNP,_,2.22e-01,3.55e-01,9.28e-05,0,5.26e-01
XGB,1.222,_,5.74e-01,1.59e-02,0,4.66e-01
DNN,0.924,-0.563,_,1.74e-03,0,8.04e-01
LEAR,3.909,2.412,3.131,_,2.18e-13,3.86e-05
BLSTM,10.234,9.121,9.712,7.337,_,0
TFT,0.634,-0.728,-0.249,-4.115,-9.968,_
