,R-CNP,XGB,DNN,LEAR,BLSTM,TFT
R-CNP,_,3.37e-02,8.49e-01,2.22e-01,3.43e-09,9.32e-01
XGB,2.124,_,6.76e-02,5.52e-01,2.87e-02,6.59e-02
DNN,0.190,-1.827,_,2.39e-01,7.24e-06,9.28e-01
LEAR,1.221,-0.595,1.177,_,3.00e-04,1.91e-01
BLSTM,5.910,2.187,4.486,3.615,_,2.44e-08
TFT,0.085,-1.839,-0.090,-1.309,-5.577,_
